index,ch,site,value
0,2.0,534332.0,4.481
1,2.0,275393.0,4.229
2,2.0,41874.0,4.224
3,2.0,25632.0,4.157
4,2.0,25644.0,4.007
5,2.0,41833.0,3.966
6,2.0,177103.0,3.916
7,2.0,177106.0,3.909
8,2.0,25678.0,3.899
9,2.0,615564.0,3.867
10,2.0,25679.0,3.86
11,2.0,465377.0,3.775
12,2.0,470431.0,3.77
13,2.0,470386.0,3.714
14,2.0,703546.0,3.699
15,2.0,577247.0,3.673
16,2.0,662677.0,3.655
17,2.0,725997.0,3.648
18,2.0,413520.0,3.559
19,2.0,703571.0,3.551
20,2.0,46274.0,3.516
21,2.0,737431.0,3.495
22,2.0,577287.0,3.487
23,2.0,613413.0,3.468
24,2.0,177037.0,3.46
25,2.0,105868.0,3.382
26,2.0,737451.0,3.368
27,2.0,686322.0,3.35
28,2.0,726024.0,3.348
29,2.0,735141.0,3.301
30,2.0,581836.0,3.296
31,2.0,773591.0,3.295
32,2.0,686332.0,3.295
33,2.0,270496.0,3.29
34,2.0,158137.0,3.261
35,2.0,516606.0,3.252
36,2.0,270541.0,3.228
37,2.0,737407.0,3.209
38,2.0,312028.0,3.183
39,2.0,493081.0,3.161
40,2.0,700716.0,3.158
41,2.0,700710.0,3.142
42,2.0,748216.0,3.137
43,2.0,770806.0,3.133
44,2.0,795420.0,3.133
45,2.0,795417.0,3.117
46,2.0,795421.0,3.101
47,2.0,773626.0,3.094
48,2.0,408870.0,3.087
49,2.0,626797.0,3.085
50,2.0,415505.0,3.084
51,2.0,270408.0,3.076
52,2.0,663215.0,3.074
53,2.0,638684.0,3.068
54,2.0,343626.0,3.059
55,2.0,283857.0,3.058
56,2.0,69855.0,3.045
57,2.0,686294.0,3.043
58,2.0,181164.0,3.034
59,2.0,69874.0,3.03
60,2.0,489677.0,3.019
61,2.0,613514.0,3.018
62,2.0,396386.0,3.018
63,2.0,735466.0,3.017
64,2.0,665781.0,2.999
65,2.0,735062.0,2.997
66,2.0,311988.0,2.983
67,2.0,725115.0,2.966
68,2.0,214091.0,2.966
69,2.0,748174.0,2.964
70,2.0,686032.0,2.956
71,2.0,20344.0,2.954
72,2.0,493056.0,2.944
73,2.0,452877.0,2.933
74,2.0,20270.0,2.924
75,2.0,343575.0,2.919
76,2.0,128042.0,2.918
77,2.0,497494.0,2.913
78,2.0,159081.0,2.913
79,2.0,343582.0,2.911
80,2.0,343573.0,2.911
81,2.0,688922.0,2.909
82,2.0,463714.0,2.906
83,2.0,688903.0,2.901
84,2.0,181213.0,2.899
85,2.0,749295.0,2.898
86,2.0,377379.0,2.891
87,2.0,46212.0,2.887
88,2.0,128945.0,2.886
89,2.0,735470.0,2.876
90,2.0,463692.0,2.871
91,2.0,463625.0,2.866
92,2.0,641864.0,2.863
93,2.0,463728.0,2.859
94,2.0,47522.0,2.852
95,2.0,375320.0,2.851
96,2.0,270366.0,2.836
97,2.0,704207.0,2.836
98,2.0,270365.0,2.836
99,2.0,697906.0,2.831
100,2.0,47970.0,2.831
101,2.0,633800.0,2.826
102,2.0,257555.0,2.826
103,2.0,697916.0,2.824
104,2.0,415445.0,2.82
105,2.0,740815.0,2.82
106,2.0,210028.0,2.813
107,2.0,491959.0,2.812
108,2.0,665986.0,2.81
109,2.0,210030.0,2.805
110,2.0,435004.0,2.8
111,2.0,165333.0,2.796
112,2.0,704258.0,2.79
113,2.0,141350.0,2.789
114,2.0,246159.0,2.786
115,2.0,37688.0,2.785
116,2.0,246143.0,2.779
117,2.0,700639.0,2.776
118,2.0,688872.0,2.775
119,2.0,697876.0,2.76
120,2.0,697923.0,2.754
121,2.0,613621.0,2.754
122,2.0,118965.0,2.748
123,2.0,668283.0,2.743
124,2.0,738212.0,2.742
125,2.0,497465.0,2.742
126,2.0,165342.0,2.742
127,2.0,497463.0,2.742
128,2.0,99184.0,2.741
129,2.0,70406.0,2.74
130,2.0,738183.0,2.739
131,2.0,489455.0,2.735
132,2.0,665811.0,2.734
133,2.0,602311.0,2.732
134,2.0,20357.0,2.729
135,2.0,475082.0,2.723
136,2.0,128973.0,2.717
137,2.0,504803.0,2.716
138,2.0,215875.0,2.716
139,2.0,373576.0,2.713
140,2.0,122978.0,2.705
141,2.0,793153.0,2.699
142,2.0,16281.0,2.697
143,2.0,691605.0,2.696
144,2.0,736608.0,2.691
145,2.0,680430.0,2.686
146,2.0,382158.0,2.683
147,2.0,270459.0,2.682
148,2.0,70388.0,2.679
149,2.0,37667.0,2.677
150,2.0,70816.0,2.676
151,2.0,497452.0,2.672
152,2.0,337445.0,2.671
153,2.0,651604.0,2.67
154,2.0,133561.0,2.666
155,2.0,584067.0,2.665
156,2.0,162028.0,2.664
157,2.0,738178.0,2.662
158,2.0,496883.0,2.661
159,2.0,91103.0,2.658
160,2.0,18393.0,2.655
161,2.0,795389.0,2.654
162,2.0,270330.0,2.651
163,2.0,209809.0,2.65
164,2.0,269070.0,2.65
165,2.0,270605.0,2.648
166,2.0,217705.0,2.646
167,2.0,99149.0,2.64
168,2.0,476061.0,2.64
169,2.0,793137.0,2.638
170,2.0,616839.0,2.636
171,2.0,285822.0,2.632
172,2.0,677217.0,2.631
173,2.0,735339.0,2.629
174,2.0,775208.0,2.625
175,2.0,690945.0,2.622
176,2.0,580711.0,2.621
177,2.0,644880.0,2.617
178,2.0,632866.0,2.615
179,2.0,691549.0,2.61
180,2.0,739084.0,2.607
181,2.0,630427.0,2.601
182,2.0,704185.0,2.6
183,2.0,20232.0,2.596
184,2.0,195583.0,2.594
185,2.0,158204.0,2.594
186,2.0,648752.0,2.592
187,2.0,667657.0,2.591
188,2.0,299610.0,2.589
189,2.0,475050.0,2.589
190,2.0,461229.0,2.587
191,2.0,691578.0,2.586
192,2.0,191269.0,2.581
193,2.0,191270.0,2.581
194,2.0,246210.0,2.58
195,2.0,584075.0,2.579
196,2.0,691580.0,2.578
197,2.0,257181.0,2.576
198,2.0,37891.0,2.574
199,2.0,76430.0,2.573
200,2.0,195414.0,2.569
201,2.0,161999.0,2.561
202,2.0,37963.0,2.561
203,2.0,636046.0,2.559
204,2.0,737364.0,2.559
205,2.0,165260.0,2.554
206,2.0,491937.0,2.554
207,2.0,476081.0,2.553
208,2.0,795468.0,2.549
209,2.0,749624.0,2.546
210,2.0,18391.0,2.543
211,2.0,63506.0,2.542
212,2.0,700635.0,2.541
213,2.0,634185.0,2.54
214,2.0,137308.0,2.539
215,2.0,602273.0,2.532
216,2.0,91660.0,2.531
217,2.0,91726.0,2.523
218,2.0,181380.0,2.522
219,2.0,727852.0,2.517
220,2.0,733520.0,2.515
221,2.0,165357.0,2.515
222,2.0,268978.0,2.513
223,2.0,697941.0,2.513
224,2.0,73816.0,2.511
225,2.0,471878.0,2.51
226,2.0,613473.0,2.51
227,2.0,461211.0,2.503
228,2.0,168155.0,2.502
229,2.0,285761.0,2.5
230,2.0,118641.0,2.497
231,2.0,158998.0,2.496
232,2.0,396456.0,2.492
233,2.0,637303.0,2.491
234,2.0,638623.0,2.49
235,2.0,590937.0,2.489
236,2.0,353152.0,2.487
237,2.0,679669.0,2.486
238,2.0,637330.0,2.486
239,2.0,613194.0,2.483
240,2.0,703958.0,2.483
241,2.0,72703.0,2.483
242,2.0,133596.0,2.479
243,2.0,616598.0,2.478
244,2.0,37869.0,2.473
245,2.0,456471.0,2.472
246,2.0,304466.0,2.47
247,2.0,257158.0,2.468
248,2.0,618057.0,2.468
249,2.0,130344.0,2.468
250,2.0,37868.0,2.465
251,2.0,487721.0,2.465
252,2.0,616596.0,2.463
253,2.0,130370.0,2.461
254,2.0,634167.0,2.455
255,2.0,19608.0,2.455
256,2.0,679657.0,2.454
257,2.0,498104.0,2.452
258,2.0,24445.0,2.445
259,2.0,51104.0,2.445
260,2.0,683775.0,2.443
261,2.0,490022.0,2.441
262,2.0,498103.0,2.436
263,2.0,714858.0,2.432
264,2.0,633767.0,2.43
265,2.0,736867.0,2.429
266,2.0,666127.0,2.427
267,2.0,311341.0,2.425
268,2.0,776126.0,2.422
269,2.0,18432.0,2.421
270,2.0,720260.0,2.42
271,2.0,354166.0,2.42
272,2.0,616590.0,2.417
273,2.0,387797.0,2.412
274,2.0,380698.0,2.407
275,2.0,454920.0,2.407
276,2.0,616633.0,2.402
277,2.0,365347.0,2.401
278,2.0,606066.0,2.401
279,2.0,23389.0,2.4
280,2.0,456884.0,2.398
281,2.0,465059.0,2.397
282,2.0,411479.0,2.396
283,2.0,664409.0,2.394
284,2.0,47484.0,2.393
285,2.0,649498.0,2.393
286,2.0,668325.0,2.389
287,2.0,70119.0,2.387
288,2.0,686265.0,2.385
289,2.0,636015.0,2.384
290,2.0,624547.0,2.383
291,2.0,580909.0,2.383
292,2.0,285843.0,2.382
