index,ch,site,value
0,16.0,574591.0,5.681
1,16.0,330248.0,4.808
2,16.0,330297.0,4.739
3,16.0,432973.0,4.167
4,16.0,281869.0,4.166
5,16.0,719774.0,4.077
6,16.0,612134.0,4.015
7,16.0,612131.0,3.999
8,16.0,612133.0,3.999
9,16.0,375614.0,3.888
10,16.0,375612.0,3.864
11,16.0,258202.0,3.851
12,16.0,330312.0,3.815
13,16.0,330192.0,3.793
14,16.0,375597.0,3.652
15,16.0,396459.0,3.617
16,16.0,385317.0,3.614
17,16.0,564310.0,3.587
18,16.0,733936.0,3.573
19,16.0,637585.0,3.544
20,16.0,375591.0,3.537
21,16.0,499174.0,3.487
22,16.0,644991.0,3.459
23,16.0,786500.0,3.457
24,16.0,585144.0,3.423
25,16.0,786364.0,3.421
26,16.0,642639.0,3.42
27,16.0,464743.0,3.397
28,16.0,642654.0,3.391
29,16.0,733972.0,3.375
30,16.0,900153.0,3.368
31,16.0,893347.0,3.363
32,16.0,212206.0,3.35
33,16.0,644984.0,3.344
34,16.0,509120.0,3.334
35,16.0,226970.0,3.328
36,16.0,298744.0,3.318
37,16.0,131435.0,3.314
38,16.0,131479.0,3.306
39,16.0,667332.0,3.295
40,16.0,637701.0,3.285
41,16.0,106700.0,3.278
42,16.0,584986.0,3.264
43,16.0,869388.0,3.234
44,16.0,644777.0,3.233
45,16.0,506137.0,3.217
46,16.0,550970.0,3.214
47,16.0,107825.0,3.211
48,16.0,68495.0,3.208
49,16.0,68443.0,3.187
50,16.0,893408.0,3.171
51,16.0,786425.0,3.164
52,16.0,124337.0,3.162
53,16.0,68505.0,3.155
54,16.0,481772.0,3.152
55,16.0,831966.0,3.149
56,16.0,719950.0,3.148
57,16.0,578230.0,3.144
58,16.0,107842.0,3.142
59,16.0,782214.0,3.137
60,16.0,782227.0,3.136
61,16.0,226929.0,3.132
62,16.0,928163.0,3.131
63,16.0,782189.0,3.128
64,16.0,659207.0,3.126
65,16.0,875560.0,3.122
66,16.0,713299.0,3.118
67,16.0,128028.0,3.114
68,16.0,653323.0,3.095
69,16.0,642712.0,3.082
70,16.0,875572.0,3.082
71,16.0,466185.0,3.079
72,16.0,875524.0,3.074
73,16.0,653373.0,3.074
74,16.0,466231.0,3.063
75,16.0,142376.0,3.047
76,16.0,875521.0,3.044
77,16.0,648806.0,3.023
78,16.0,112914.0,3.022
79,16.0,42326.0,3.008
80,16.0,142324.0,3.0
81,16.0,464693.0,2.999
82,16.0,831211.0,2.996
83,16.0,374244.0,2.983
84,16.0,653289.0,2.979
85,16.0,518810.0,2.958
86,16.0,553674.0,2.957
87,16.0,295887.0,2.955
88,16.0,564348.0,2.955
89,16.0,583210.0,2.955
90,16.0,338506.0,2.948
91,16.0,106653.0,2.944
92,16.0,860809.0,2.94
93,16.0,908179.0,2.939
94,16.0,782135.0,2.93
95,16.0,131413.0,2.928
96,16.0,590817.0,2.928
97,16.0,908127.0,2.922
98,16.0,295857.0,2.913
99,16.0,629367.0,2.907
100,16.0,639829.0,2.906
101,16.0,336087.0,2.895
102,16.0,720279.0,2.894
103,16.0,165177.0,2.892
104,16.0,678842.0,2.874
105,16.0,315369.0,2.871
106,16.0,644453.0,2.868
107,16.0,644452.0,2.868
108,16.0,678850.0,2.866
109,16.0,417280.0,2.861
110,16.0,448233.0,2.859
111,16.0,831205.0,2.858
112,16.0,678856.0,2.857
113,16.0,131257.0,2.852
114,16.0,253806.0,2.848
115,16.0,422548.0,2.845
116,16.0,73569.0,2.84
117,16.0,449964.0,2.839
118,16.0,192206.0,2.838
119,16.0,677426.0,2.837
120,16.0,825150.0,2.833
121,16.0,694650.0,2.832
122,16.0,149496.0,2.831
123,16.0,647427.0,2.822
124,16.0,391607.0,2.821
125,16.0,598016.0,2.818
126,16.0,382865.0,2.816
127,16.0,128043.0,2.813
128,16.0,677454.0,2.806
129,16.0,706343.0,2.801
130,16.0,454518.0,2.797
131,16.0,790509.0,2.794
132,16.0,253828.0,2.794
133,16.0,253797.0,2.793
134,16.0,114755.0,2.791
135,16.0,551337.0,2.79
136,16.0,861883.0,2.781
137,16.0,401602.0,2.781
138,16.0,643011.0,2.774
139,16.0,552106.0,2.774
140,16.0,434006.0,2.774
141,16.0,678821.0,2.765
142,16.0,44882.0,2.757
143,16.0,928043.0,2.754
144,16.0,454476.0,2.753
145,16.0,606749.0,2.753
146,16.0,135231.0,2.751
147,16.0,611016.0,2.75
148,16.0,454460.0,2.744
149,16.0,648765.0,2.739
150,16.0,830249.0,2.733
151,16.0,659173.0,2.728
152,16.0,906180.0,2.726
153,16.0,578185.0,2.725
154,16.0,305950.0,2.716
155,16.0,734243.0,2.715
156,16.0,248286.0,2.699
157,16.0,596831.0,2.694
158,16.0,68531.0,2.694
159,16.0,417611.0,2.691
160,16.0,166409.0,2.685
161,16.0,786260.0,2.681
162,16.0,489031.0,2.679
163,16.0,44903.0,2.678
164,16.0,779345.0,2.675
165,16.0,135215.0,2.674
166,16.0,766868.0,2.673
167,16.0,390439.0,2.67
168,16.0,672715.0,2.669
169,16.0,506918.0,2.666
170,16.0,461301.0,2.665
171,16.0,180918.0,2.664
172,16.0,196502.0,2.662
173,16.0,236904.0,2.662
174,16.0,517869.0,2.66
175,16.0,518718.0,2.655
176,16.0,751860.0,2.651
177,16.0,65262.0,2.647
178,16.0,644881.0,2.644
179,16.0,85626.0,2.644
180,16.0,389829.0,2.643
181,16.0,644883.0,2.643
182,16.0,44854.0,2.642
183,16.0,860746.0,2.639
184,16.0,734236.0,2.638
185,16.0,342920.0,2.637
186,16.0,171092.0,2.636
187,16.0,496082.0,2.635
188,16.0,44851.0,2.634
189,16.0,93123.0,2.631
190,16.0,492805.0,2.627
191,16.0,396180.0,2.625
192,16.0,656878.0,2.624
193,16.0,334014.0,2.621
194,16.0,272517.0,2.616
195,16.0,635684.0,2.614
196,16.0,770662.0,2.614
197,16.0,506856.0,2.612
198,16.0,813948.0,2.61
199,16.0,93129.0,2.608
200,16.0,128708.0,2.604
201,16.0,506851.0,2.604
202,16.0,792188.0,2.601
203,16.0,293014.0,2.594
204,16.0,370152.0,2.592
205,16.0,236912.0,2.591
206,16.0,741089.0,2.591
207,16.0,446926.0,2.586
208,16.0,790564.0,2.585
209,16.0,678889.0,2.58
210,16.0,642593.0,2.58
211,16.0,672728.0,2.577
212,16.0,334071.0,2.573
213,16.0,899144.0,2.572
214,16.0,590635.0,2.566
215,16.0,699901.0,2.563
216,16.0,509238.0,2.561
217,16.0,666924.0,2.561
218,16.0,186374.0,2.548
219,16.0,374270.0,2.548
