index,ch,site,value
0,13.0,42366.0,4.377
1,13.0,847920.0,4.22
2,13.0,695910.0,4.193
3,13.0,624879.0,4.188
4,13.0,642451.0,4.106
5,13.0,722025.0,4.095
6,13.0,218517.0,4.006
7,13.0,334442.0,3.998
8,13.0,624829.0,3.982
9,13.0,760654.0,3.981
10,13.0,760666.0,3.928
11,13.0,161158.0,3.879
12,13.0,714755.0,3.872
13,13.0,435052.0,3.707
14,13.0,101353.0,3.703
15,13.0,26334.0,3.687
16,13.0,435063.0,3.684
17,13.0,166426.0,3.671
18,13.0,911974.0,3.665
19,13.0,22806.0,3.657
20,13.0,847946.0,3.629
21,13.0,558019.0,3.605
22,13.0,458528.0,3.595
23,13.0,714709.0,3.593
24,13.0,435111.0,3.57
25,13.0,558036.0,3.566
26,13.0,161148.0,3.562
27,13.0,116730.0,3.541
28,13.0,152599.0,3.53
29,13.0,12855.0,3.515
30,13.0,26394.0,3.513
31,13.0,479207.0,3.505
32,13.0,366391.0,3.504
33,13.0,214206.0,3.487
34,13.0,12819.0,3.483
35,13.0,300254.0,3.476
36,13.0,45128.0,3.46
37,13.0,895809.0,3.449
38,13.0,221601.0,3.439
39,13.0,714798.0,3.415
40,13.0,214262.0,3.409
41,13.0,511047.0,3.404
42,13.0,214200.0,3.402
43,13.0,695977.0,3.398
44,13.0,895781.0,3.356
45,13.0,366340.0,3.346
46,13.0,406747.0,3.341
47,13.0,795985.0,3.332
48,13.0,514682.0,3.303
49,13.0,479300.0,3.295
50,13.0,121269.0,3.295
51,13.0,444676.0,3.291
52,13.0,500452.0,3.286
53,13.0,895739.0,3.277
54,13.0,158868.0,3.262
55,13.0,771675.0,3.241
56,13.0,514693.0,3.233
57,13.0,497320.0,3.219
58,13.0,656610.0,3.219
59,13.0,16452.0,3.215
60,13.0,672968.0,3.21
61,13.0,248496.0,3.201
62,13.0,433410.0,3.198
63,13.0,152571.0,3.195
64,13.0,121309.0,3.193
65,13.0,248478.0,3.186
66,13.0,306024.0,3.183
67,13.0,258877.0,3.173
68,13.0,907368.0,3.173
69,13.0,55916.0,3.173
70,13.0,152553.0,3.171
71,13.0,248447.0,3.162
72,13.0,811228.0,3.143
73,13.0,19953.0,3.138
74,13.0,430535.0,3.137
75,13.0,672908.0,3.13
76,13.0,433367.0,3.128
77,13.0,627263.0,3.123
78,13.0,244395.0,3.114
79,13.0,306074.0,3.104
80,13.0,771684.0,3.099
81,13.0,326543.0,3.091
82,13.0,210576.0,3.088
83,13.0,667729.0,3.083
84,13.0,433346.0,3.082
85,13.0,433344.0,3.082
86,13.0,233594.0,3.08
87,13.0,68907.0,3.079
88,13.0,12796.0,3.069
89,13.0,428616.0,3.067
90,13.0,68890.0,3.063
91,13.0,272403.0,3.063
92,13.0,100819.0,3.06
93,13.0,695045.0,3.054
94,13.0,606795.0,3.048
95,13.0,53985.0,3.045
96,13.0,815262.0,3.044
97,13.0,851347.0,3.033
98,13.0,233584.0,3.025
99,13.0,100906.0,3.025
100,13.0,497375.0,3.023
101,13.0,407335.0,3.021
102,13.0,248521.0,3.013
103,13.0,615562.0,3.011
104,13.0,911919.0,3.01
105,13.0,546072.0,2.997
106,13.0,717092.0,2.996
107,13.0,484160.0,2.994
108,13.0,396618.0,2.992
109,13.0,847960.0,2.987
110,13.0,824101.0,2.984
111,13.0,326549.0,2.976
112,13.0,484592.0,2.976
113,13.0,102202.0,2.974
114,13.0,851368.0,2.955
115,13.0,572034.0,2.955
116,13.0,278275.0,2.951
117,13.0,210558.0,2.95
118,13.0,811218.0,2.945
119,13.0,606780.0,2.94
120,13.0,234985.0,2.927
121,13.0,210554.0,2.926
122,13.0,658951.0,2.919
123,13.0,714689.0,2.919
124,13.0,365657.0,2.915
125,13.0,272378.0,2.913
126,13.0,205340.0,2.913
127,13.0,667770.0,2.912
128,13.0,866943.0,2.912
129,13.0,658975.0,2.909
130,13.0,101590.0,2.908
131,13.0,913448.0,2.898
132,13.0,210390.0,2.896
133,13.0,771716.0,2.892
134,13.0,616935.0,2.888
135,13.0,771668.0,2.888
136,13.0,557972.0,2.876
137,13.0,233651.0,2.876
138,13.0,479315.0,2.866
139,13.0,678668.0,2.866
140,13.0,304585.0,2.861
141,13.0,793805.0,2.86
142,13.0,44424.0,2.858
143,13.0,69587.0,2.856
144,13.0,812515.0,2.853
145,13.0,219351.0,2.85
146,13.0,668071.0,2.846
147,13.0,465063.0,2.841
148,13.0,465053.0,2.841
149,13.0,433329.0,2.838
150,13.0,31395.0,2.834
151,13.0,54044.0,2.83
152,13.0,594111.0,2.829
153,13.0,26432.0,2.828
154,13.0,811257.0,2.825
155,13.0,851297.0,2.817
156,13.0,554148.0,2.812
157,13.0,665307.0,2.811
158,13.0,436953.0,2.806
159,13.0,826740.0,2.803
160,13.0,559577.0,2.797
161,13.0,219379.0,2.789
162,13.0,277831.0,2.787
163,13.0,210367.0,2.781
164,13.0,205352.0,2.765
165,13.0,909072.0,2.755
166,13.0,235004.0,2.755
167,13.0,866995.0,2.753
168,13.0,904326.0,2.749
169,13.0,666737.0,2.749
170,13.0,773746.0,2.749
171,13.0,171645.0,2.749
172,13.0,407427.0,2.748
173,13.0,130961.0,2.744
174,13.0,813965.0,2.74
175,13.0,899866.0,2.724
176,13.0,75714.0,2.71
177,13.0,860344.0,2.709
178,13.0,866900.0,2.708
179,13.0,22732.0,2.706
