index,ch,site,value
0,14.0,558262.0,5.073
1,14.0,499361.0,4.426
2,14.0,558211.0,4.345
3,14.0,145839.0,4.277
4,14.0,442794.0,4.055
5,14.0,346837.0,4.029
6,14.0,265356.0,3.872
7,14.0,442756.0,3.811
8,14.0,607744.0,3.808
9,14.0,589640.0,3.772
10,14.0,345103.0,3.77
11,14.0,265366.0,3.762
12,14.0,411091.0,3.755
13,14.0,589686.0,3.699
14,14.0,589663.0,3.653
15,14.0,105545.0,3.608
16,14.0,448521.0,3.517
17,14.0,607675.0,3.494
18,14.0,516621.0,3.469
19,14.0,466583.0,3.447
20,14.0,280520.0,3.44
21,14.0,541895.0,3.433
22,14.0,709345.0,3.402
23,14.0,709072.0,3.391
24,14.0,269358.0,3.37
25,14.0,709097.0,3.359
26,14.0,145946.0,3.345
27,14.0,527845.0,3.344
28,14.0,466634.0,3.339
29,14.0,701972.0,3.337
30,14.0,765609.0,3.336
31,14.0,578772.0,3.336
32,14.0,516582.0,3.267
33,14.0,589607.0,3.259
34,14.0,642924.0,3.251
35,14.0,466651.0,3.244
36,14.0,205778.0,3.231
37,14.0,701953.0,3.22
38,14.0,765549.0,3.22
39,14.0,205764.0,3.219
40,14.0,704986.0,3.198
41,14.0,44615.0,3.193
42,14.0,700773.0,3.176
43,14.0,167667.0,3.172
44,14.0,199074.0,3.153
45,14.0,408395.0,3.149
46,14.0,527848.0,3.14
47,14.0,184033.0,3.14
48,14.0,709043.0,3.138
49,14.0,491563.0,3.132
50,14.0,656189.0,3.132
51,14.0,65998.0,3.132
52,14.0,734453.0,3.118
53,14.0,358066.0,3.113
54,14.0,345050.0,3.091
55,14.0,456995.0,3.087
56,14.0,145960.0,3.084
57,14.0,34933.0,3.077
58,14.0,408418.0,3.056
59,14.0,263884.0,3.048
60,14.0,735293.0,3.04
61,14.0,441598.0,3.035
62,14.0,48491.0,3.033
63,14.0,425102.0,3.032
64,14.0,589569.0,3.023
65,14.0,502153.0,3.01
66,14.0,665532.0,2.999
67,14.0,492222.0,2.999
68,14.0,70387.0,2.988
69,14.0,502364.0,2.97
70,14.0,578458.0,2.956
71,14.0,502293.0,2.939
72,14.0,734399.0,2.93
73,14.0,749941.0,2.924
