index,ch,site,value
0,5.0,121935.0,3.554
1,5.0,329144.0,3.549
2,5.0,118846.0,3.543
3,5.0,88227.0,3.537
4,5.0,329106.0,3.53
5,5.0,379916.0,3.452
6,5.0,118787.0,3.432
7,5.0,329164.0,3.351
8,5.0,89447.0,3.31
9,5.0,89450.0,3.31
10,5.0,473460.0,3.307
11,5.0,469178.0,3.292
12,5.0,313061.0,3.282
13,5.0,504579.0,3.262
14,5.0,70007.0,3.261
15,5.0,123337.0,3.259
16,5.0,123333.0,3.251
17,5.0,271785.0,3.244
18,5.0,313079.0,3.235
19,5.0,297031.0,3.222
20,5.0,319974.0,3.191
21,5.0,313046.0,3.181
22,5.0,454585.0,3.177
23,5.0,336891.0,3.169
24,5.0,532550.0,3.166
25,5.0,469114.0,3.16
26,5.0,333626.0,3.131
27,5.0,333566.0,3.13
28,5.0,319964.0,3.123
29,5.0,425311.0,3.122
30,5.0,319967.0,3.107
31,5.0,248020.0,3.105
32,5.0,297013.0,3.085
33,5.0,568349.0,3.071
34,5.0,335519.0,3.05
35,5.0,265209.0,3.046
36,5.0,70458.0,3.042
37,5.0,547328.0,3.036
38,5.0,335512.0,3.026
39,5.0,193336.0,3.023
40,5.0,95890.0,3.015
41,5.0,376967.0,3.011
42,5.0,95892.0,3.007
43,5.0,464204.0,3.002
44,5.0,289039.0,3.002
45,5.0,454610.0,2.974
46,5.0,326675.0,2.969
47,5.0,526310.0,2.966
48,5.0,335592.0,2.963
49,5.0,334741.0,2.96
50,5.0,172869.0,2.94
51,5.0,34882.0,2.937
52,5.0,293674.0,2.936
53,5.0,27945.0,2.916
54,5.0,425263.0,2.911
55,5.0,343988.0,2.907
56,5.0,183929.0,2.894
57,5.0,193316.0,2.892
58,5.0,541695.0,2.876
59,5.0,172911.0,2.875
60,5.0,414751.0,2.839
61,5.0,293667.0,2.838
62,5.0,34858.0,2.828
63,5.0,336097.0,2.816
64,5.0,338928.0,2.79
65,5.0,26399.0,2.784
66,5.0,326724.0,2.776
67,5.0,350131.0,2.758
68,5.0,234713.0,2.755
69,5.0,87344.0,2.752
70,5.0,201841.0,2.744
71,5.0,350133.0,2.735
72,5.0,73886.0,2.726
73,5.0,417454.0,2.726
74,5.0,456769.0,2.726
75,5.0,552910.0,2.72
76,5.0,68442.0,2.714
77,5.0,473313.0,2.708
78,5.0,68504.0,2.69
79,5.0,43263.0,2.686
80,5.0,214951.0,2.684
81,5.0,440295.0,2.683
82,5.0,202532.0,2.677
83,5.0,134667.0,2.665
84,5.0,78500.0,2.652
85,5.0,42777.0,2.648
86,5.0,532290.0,2.645
87,5.0,236094.0,2.641
88,5.0,285461.0,2.64
89,5.0,374334.0,2.637
90,5.0,294248.0,2.634
91,5.0,335473.0,2.63
92,5.0,134656.0,2.626
93,5.0,143644.0,2.613
94,5.0,81893.0,2.595
95,5.0,149028.0,2.592
96,5.0,175001.0,2.591
97,5.0,73907.0,2.582
98,5.0,140917.0,2.582
99,5.0,303011.0,2.568
100,5.0,223704.0,2.566
101,5.0,526403.0,2.565
102,5.0,461985.0,2.564
103,5.0,377444.0,2.561
104,5.0,182084.0,2.557
105,5.0,119550.0,2.555
106,5.0,195789.0,2.554
107,5.0,184186.0,2.554
108,5.0,338907.0,2.552
109,5.0,83500.0,2.547
110,5.0,228652.0,2.547
111,5.0,27103.0,2.545
112,5.0,336932.0,2.537
113,5.0,400663.0,2.526
114,5.0,400662.0,2.519
115,5.0,244580.0,2.518
116,5.0,123289.0,2.518
117,5.0,344057.0,2.517
118,5.0,546920.0,2.516
119,5.0,557497.0,2.508
120,5.0,159505.0,2.502
121,5.0,411143.0,2.494
122,5.0,417519.0,2.492
123,5.0,117461.0,2.49
124,5.0,503480.0,2.489
125,5.0,457377.0,2.481
126,5.0,503404.0,2.479
127,5.0,538191.0,2.478
128,5.0,187186.0,2.477
129,5.0,68687.0,2.47
130,5.0,569300.0,2.469
131,5.0,83563.0,2.464
132,5.0,155658.0,2.463
133,5.0,166388.0,2.462
134,5.0,506226.0,2.462
135,5.0,532350.0,2.46
136,5.0,547777.0,2.45
137,5.0,503746.0,2.45
138,5.0,343589.0,2.449
139,5.0,547792.0,2.448
140,5.0,105171.0,2.442
141,5.0,566201.0,2.431
142,5.0,190014.0,2.43
143,5.0,43221.0,2.43
144,5.0,334577.0,2.429
145,5.0,364683.0,2.425
146,5.0,417427.0,2.421
147,5.0,42087.0,2.417
148,5.0,520133.0,2.415
149,5.0,73193.0,2.414
150,5.0,195854.0,2.414
151,5.0,520143.0,2.414
152,5.0,56710.0,2.411
153,5.0,370877.0,2.41
154,5.0,27053.0,2.407
155,5.0,461294.0,2.407
156,5.0,81836.0,2.407
157,5.0,162284.0,2.404
158,5.0,240861.0,2.404
159,5.0,402421.0,2.403
160,5.0,525737.0,2.4
161,5.0,552934.0,2.396
162,5.0,132892.0,2.394
163,5.0,265315.0,2.393
164,5.0,27050.0,2.391
165,5.0,223596.0,2.388
166,5.0,202550.0,2.388
167,5.0,547790.0,2.38
168,5.0,353450.0,2.379
169,5.0,325210.0,2.37
170,5.0,161161.0,2.36
171,5.0,381023.0,2.36
172,5.0,182842.0,2.358
173,5.0,191733.0,2.355
174,5.0,155622.0,2.354
175,5.0,530102.0,2.352
176,5.0,538225.0,2.351
177,5.0,325122.0,2.348
178,5.0,195778.0,2.348
179,5.0,27784.0,2.345
180,5.0,100904.0,2.341
181,5.0,325156.0,2.34
182,5.0,530116.0,2.337
183,5.0,361381.0,2.336
184,5.0,457335.0,2.333
185,5.0,504086.0,2.331
186,5.0,463630.0,2.33
187,5.0,296688.0,2.329
188,5.0,91286.0,2.327
189,5.0,294305.0,2.327
190,5.0,456753.0,2.326
191,5.0,399970.0,2.323
192,5.0,56715.0,2.319
193,5.0,325192.0,2.316
194,5.0,569194.0,2.315
195,5.0,473400.0,2.314
196,5.0,67912.0,2.314
197,5.0,56717.0,2.311
198,5.0,90123.0,2.311
199,5.0,140826.0,2.302
200,5.0,566310.0,2.297
201,5.0,532613.0,2.294
202,5.0,230341.0,2.29
203,5.0,223605.0,2.286
204,5.0,336446.0,2.284
205,5.0,91816.0,2.278
206,5.0,270815.0,2.27
207,5.0,411372.0,2.268
208,5.0,42155.0,2.265
