1	92279	0.512
1	55643	0.257
1	59326	1.067
1	150176	0.881
1	195643	1.36
1	53861	0.847
1	193265	1.792
1	92285	0.442
1	43100	1.135
1	169887	1.041
1	202816	1.613
1	53960	0.972
1	30418	0.967
1	154077	0.131
1	49303	1.026
1	146571	0.258
1	157689	0.414
1	124242	0.942
1	37176	0.296
1	2939	0.644
1	126739	0.356
1	39819	0.87
1	195045	1.634
1	110775	0.731
1	193618	1.087
1	147010	0.444
1	120702	0.925
1	185111	2.793
1	200581	0.444
1	6665	0.107
1	95735	0.568
1	177941	0.608
1	119377	1.312
1	69223	2.284
1	157453	1.052
1	109580	1.917
1	58926	1.091
1	119555	1.136
1	118180	0.302
1	7093	0.0689
1	198994	0.628
1	68487	1.205
1	195971	0.949
1	175912	0.637
1	65021	1.435
1	98633	0.375
1	200648	1.223
1	101665	0.597
1	135633	1.214
1	71999	2.391
1	33634	1.786
1	62518	1.463
1	91023	0.683
1	95474	0.496
1	76252	0.789
1	30166	0.561
1	110911	1.177
1	92172	1.059
1	104346	0.42
1	56420	0.581
1	191249	1.624
1	99210	0.576
1	5163	0.661
1	136198	0.653
1	30528	1.884
1	73244	0.794
1	151824	0.321
1	202755	1.441
1	56970	0.608
1	67570	1.013
1	69003	1.459
1	118612	0.297
1	35444	1.296
1	201388	1.048
1	202944	1.024
1	130211	1.956
1	156382	0.31
1	11377	0.17
1	190205	0.868
1	93590	1.196
1	198140	0.517
1	190875	1.132
1	92308	0.171
1	9825	0.225
1	56338	0.828
1	200528	0.265
1	193381	0.743
1	66366	0.722
1	124983	1.611
1	200058	0.124
1	37789	2.246
1	51812	0.14
1	35571	1.396
1	184348	1.191
1	180535	2.129
1	123973	0.684
1	61158	0.514
1	61185	0.304
1	66275	1.376
1	44160	0.899
1	76717	0.629
1	3704	0.0939
1	119954	0.256
1	86843	0.762
1	48002	2.544
1	60728	2.972
1	69508	0.997
1	148174	0.232
1	61333	3.048
1	32519	3.429
1	125416	0.912
1	110454	0.467
1	132204	2.087
1	154094	0.271
1	167444	0.766
1	129271	2.207
1	69220	2.323
1	99703	0.961
1	143814	0.699
1	174619	2.064
1	126997	0.77
1	174229	1.036
1	121630	1.135
1	85767	0.185
1	120700	0.917
1	87072	0.643
1	112533	2.42
1	156436	0.413
1	121232	0.452
1	142314	0.108
1	6849	0.21
1	172073	0.0314
1	135747	0.0546
1	200895	0.38
1	98673	0.444
1	64881	0.959
1	133199	1.783
1	56558	0.744
1	71268	0.904
1	70357	0.33
1	110449	0.546
1	227339	0.403
1	6027	0.218
1	174854	0.83
1	195307	1.147
1	107732	0.7
1	167865	0.56
1	39542	0.661
1	145626	0.957
1	128897	1.38
1	36118	1.568
1	58537	0.753
1	144309	1.588
1	65844	0.375
1	86257	0.623
1	90909	0.437
1	148311	1.208
1	63333	1.754
1	36386	0.0935
1	122855	0.635
1	28871	0.81
1	180656	0.616
1	191663	2.073
1	30403	0.878
1	104053	0.45
1	64414	0.428
1	121412	0.255
1	7447	0.618
1	168658	0.632
1	37777	2.262
1	66688	0.563
1	134215	0.382
1	114052	1.031
1	117936	0.232
