site,value
42366.0,4.377
624879.0,4.188
218517.0,4.006
760654.0,3.981
714755.0,3.872
26334.0,3.687
911974.0,3.665
558019.0,3.605
435111.0,3.57
116730.0,3.541
26394.0,3.513
214206.0,3.487
45128.0,3.46
714798.0,3.415
214200.0,3.402
366340.0,3.346
514682.0,3.303
444676.0,3.291
158868.0,3.262
497320.0,3.219
672968.0,3.21
152571.0,3.195
306024.0,3.183
55916.0,3.173
811228.0,3.143
672908.0,3.13
244395.0,3.114
326543.0,3.091
433346.0,3.082
68907.0,3.079
68890.0,3.063
695045.0,3.054
815262.0,3.044
100906.0,3.025
248521.0,3.013
546072.0,2.997
396618.0,2.992
326549.0,2.976
851368.0,2.955
210558.0,2.95
234985.0,2.927
714689.0,2.919
205340.0,2.913
658975.0,2.909
210390.0,2.896
771668.0,2.888
479315.0,2.866
793805.0,2.86
812515.0,2.853
465063.0,2.841
31395.0,2.834
26432.0,2.828
554148.0,2.812
826740.0,2.803
210367.0,2.781
757463.0,2.668
888105.0,2.615
686329.0,2.552
627327.0,2.503
693679.0,2.453
828174.0,2.405
769600.0,2.368
159482.0,2.334
390029.0,2.305
743111.0,2.271
830583.0,2.239
747722.0,2.207
148228.0,2.185
412712.0,2.157
770820.0,2.132
314118.0,2.109
242012.0,2.083
554931.0,2.06
134742.0,2.044
593439.0,2.025
61853.0,1.996
237787.0,1.978
651135.0,1.961
493119.0,1.947
482608.0,1.924
700601.0,1.905
105416.0,1.882
674036.0,1.865
116235.0,1.849
344535.0,1.83
902396.0,1.816
888605.0,1.795
818190.0,1.777
810644.0,1.764
103537.0,1.747
903084.0,1.73
102888.0,1.718
492998.0,1.705
73337.0,1.694
46445.0,1.683
639750.0,1.671
560659.0,1.661
49444.0,1.647
171033.0,1.636
890397.0,1.627
684908.0,1.614
178106.0,1.6
425746.0,1.584
664010.0,1.576
726943.0,1.567
207979.0,1.558
888577.0,1.546
127921.0,1.536
643947.0,1.526
773335.0,1.513
117550.0,1.503
288191.0,1.491
439547.0,1.482
250612.0,1.474
792301.0,1.467
212582.0,1.457
452705.0,1.446
424567.0,1.437
334885.0,1.427
547944.0,1.418
565113.0,1.409
25396.0,1.398
284524.0,1.39
617645.0,1.381
765019.0,1.372
438422.0,1.362
802282.0,1.352
292882.0,1.345
881403.0,1.337
213813.0,1.329
752793.0,1.319
109321.0,1.311
78856.0,1.304
637543.0,1.292
456088.0,1.284
52426.0,1.278
881315.0,1.267
779057.0,1.261
254054.0,1.251
750869.0,1.241
537337.0,1.234
572589.0,1.227
58308.0,1.22
309260.0,1.211
736670.0,1.203
160131.0,1.197
292967.0,1.19
866541.0,1.183
127470.0,1.175
84390.0,1.168
710113.0,1.161
259683.0,1.155
720105.0,1.15
110370.0,1.144
467034.0,1.138
668934.0,1.129
635751.0,1.118
154135.0,1.109
618115.0,1.103
173761.0,1.095
421546.0,1.09
310543.0,1.084
676893.0,1.078
411662.0,1.071
749114.0,1.063
622479.0,1.055
562411.0,1.048
48503.0,1.042
666902.0,1.036
564876.0,1.028
726747.0,1.021
151325.0,1.015
643401.0,1.01
676066.0,1.002
227980.0,0.996
588938.0,0.989
574452.0,0.983
872220.0,0.977
594025.0,0.971
140965.0,0.964
381457.0,0.96
528498.0,0.955
354025.0,0.949
701415.0,0.941
804763.0,0.933
111285.0,0.927
578253.0,0.922
876856.0,0.916
414506.0,0.911
822901.0,0.904
173492.0,0.896
613621.0,0.888
822026.0,0.882
825826.0,0.878
106571.0,0.872
340652.0,0.867
705589.0,0.86
697643.0,0.855
309487.0,0.849
27689.0,0.843
342861.0,0.838
230527.0,0.831
134117.0,0.824
272620.0,0.816
462430.0,0.812
593908.0,0.807
17358.0,0.802
705230.0,0.797
384203.0,0.792
365161.0,0.786
295782.0,0.781
683583.0,0.776
105569.0,0.771
786594.0,0.764
393122.0,0.76
807664.0,0.755
396183.0,0.748
768015.0,0.744
227383.0,0.738
37962.0,0.732
18143.0,0.726
363364.0,0.722
789478.0,0.717
117956.0,0.712
672685.0,0.708
238471.0,0.7
145445.0,0.693
705164.0,0.689
416109.0,0.683
150042.0,0.677
884817.0,0.675
451167.0,0.669
96808.0,0.662
363916.0,0.658
267916.0,0.652
650076.0,0.647
217241.0,0.639
644477.0,0.633
273017.0,0.629
571327.0,0.622
618964.0,0.616
556467.0,0.61
218242.0,0.605
834143.0,0.6
151812.0,0.597
592817.0,0.59
163161.0,0.585
543859.0,0.578
76447.0,0.573
193258.0,0.567
779845.0,0.561
118976.0,0.554
147445.0,0.55
143941.0,0.545
691503.0,0.54
251554.0,0.535
145426.0,0.527
610929.0,0.522
785333.0,0.516
274626.0,0.511
501508.0,0.505
264486.0,0.499
692486.0,0.496
776830.0,0.489
27603.0,0.482
840918.0,0.477
177155.0,0.473
720931.0,0.468
761899.0,0.465
528776.0,0.459
461390.0,0.457
219135.0,0.452
431460.0,0.448
31705.0,0.443
487154.0,0.436
137627.0,0.432
882069.0,0.427
89934.0,0.42
210288.0,0.414
551263.0,0.406
606000.0,0.403
566030.0,0.397
836320.0,0.39
425414.0,0.383
874609.0,0.38
379860.0,0.375
467441.0,0.368
742826.0,0.364
56347.0,0.358
426854.0,0.352
203053.0,0.349
687128.0,0.342
551594.0,0.334
707100.0,0.327
574640.0,0.32
311066.0,0.317
827816.0,0.31
699031.0,0.304
217188.0,0.297
677047.0,0.292
846012.0,0.286
90145.0,0.279
418126.0,0.272
354951.0,0.265
55773.0,0.257
372039.0,0.249
649045.0,0.241
870798.0,0.234
737876.0,0.227
741016.0,0.225
713833.0,0.217
707142.0,0.21
64489.0,0.202
687395.0,0.197
15015.0,0.193
251193.0,0.186
855368.0,0.178
56662.0,0.17
886824.0,0.163
455690.0,0.156
681032.0,0.149
604817.0,0.146
234614.0,0.133
273525.0,0.125
717865.0,0.116
827011.0,0.108
56482.0,0.0935
266175.0,0.0848
348500.0,0.0705
217114.0,0.0615
386045.0,0.0394
