site,value
519658.0,4.782
508471.0,4.133
314788.0,4.046
170362.0,3.777
562344.0,3.567
520900.0,3.557
81913.0,3.439
341513.0,3.389
169777.0,3.31
614433.0,3.273
336618.0,3.249
464298.0,3.231
35524.0,3.2
599121.0,3.194
464290.0,3.176
363682.0,3.164
236524.0,3.155
468542.0,3.121
103171.0,3.086
526076.0,3.064
263328.0,3.047
245857.0,3.033
477585.0,2.992
250003.0,2.969
506098.0,2.953
221274.0,2.947
166117.0,2.942
201156.0,2.937
599144.0,2.904
182173.0,2.89
326280.0,2.874
83403.0,2.849
226113.0,2.834
354380.0,2.815
104789.0,2.805
391638.0,2.798
515057.0,2.79
391616.0,2.789
417891.0,2.763
520019.0,2.742
515048.0,2.713
282254.0,2.708
374668.0,2.692
429476.0,2.689
326493.0,2.683
506309.0,2.648
571356.0,2.557
336373.0,2.47
468486.0,2.406
544235.0,2.342
646623.0,2.276
326308.0,2.223
193834.0,2.184
255845.0,2.147
295551.0,2.109
339907.0,2.077
136481.0,2.043
48770.0,2.009
488670.0,1.98
228660.0,1.937
614634.0,1.909
34318.0,1.886
128774.0,1.857
316992.0,1.832
311188.0,1.814
340572.0,1.79
116905.0,1.764
121358.0,1.747
356556.0,1.73
326147.0,1.717
383791.0,1.693
30450.0,1.678
179569.0,1.664
443773.0,1.642
438574.0,1.624
187919.0,1.607
209273.0,1.591
454260.0,1.569
309945.0,1.553
562784.0,1.536
289016.0,1.523
634866.0,1.508
165246.0,1.493
650642.0,1.479
352195.0,1.465
454746.0,1.45
298890.0,1.437
429280.0,1.425
41155.0,1.409
487828.0,1.39
199327.0,1.377
99912.0,1.366
588921.0,1.356
495362.0,1.343
387828.0,1.333
23560.0,1.32
508916.0,1.31
598153.0,1.296
248270.0,1.283
631539.0,1.272
122975.0,1.264
609142.0,1.254
41260.0,1.244
448282.0,1.233
69834.0,1.221
118618.0,1.21
437449.0,1.2
636187.0,1.19
522355.0,1.181
506986.0,1.173
487854.0,1.163
502613.0,1.154
300091.0,1.143
228285.0,1.136
476994.0,1.125
511693.0,1.116
629169.0,1.109
199164.0,1.1
323664.0,1.091
187335.0,1.082
138030.0,1.072
625837.0,1.063
12097.0,1.056
4586.0,1.047
391357.0,1.037
92203.0,1.029
553776.0,1.021
68897.0,1.014
49351.0,1.005
355381.0,0.996
171577.0,0.985
137016.0,0.975
318229.0,0.962
333230.0,0.951
233126.0,0.94
329744.0,0.933
19080.0,0.925
479580.0,0.916
642952.0,0.907
245469.0,0.899
49814.0,0.89
394408.0,0.881
158079.0,0.874
335204.0,0.864
5710.0,0.859
167857.0,0.853
348599.0,0.848
350477.0,0.841
350458.0,0.835
49542.0,0.829
570020.0,0.822
451812.0,0.816
224162.0,0.809
117068.0,0.8
411383.0,0.787
349740.0,0.78
299868.0,0.772
137099.0,0.766
657470.0,0.758
432899.0,0.748
618690.0,0.74
199851.0,0.732
415287.0,0.728
19389.0,0.721
189494.0,0.715
134810.0,0.706
618948.0,0.7
511020.0,0.693
14422.0,0.686
367952.0,0.682
105005.0,0.676
366720.0,0.668
621867.0,0.66
361271.0,0.653
294710.0,0.647
550340.0,0.64
619919.0,0.635
310901.0,0.627
310896.0,0.62
621903.0,0.613
389326.0,0.607
157431.0,0.599
479111.0,0.592
18831.0,0.585
586554.0,0.575
411266.0,0.568
631445.0,0.56
423702.0,0.551
624477.0,0.543
423368.0,0.536
431488.0,0.529
120540.0,0.521
530092.0,0.514
654611.0,0.506
32413.0,0.503
424878.0,0.496
321335.0,0.487
220230.0,0.481
520295.0,0.474
308147.0,0.466
240879.0,0.456
501871.0,0.451
616378.0,0.443
602614.0,0.436
579491.0,0.43
88713.0,0.426
87371.0,0.42
288628.0,0.414
253503.0,0.407
618260.0,0.398
433430.0,0.392
253499.0,0.384
581338.0,0.38
547350.0,0.374
64601.0,0.366
52313.0,0.359
237476.0,0.351
135085.0,0.343
649780.0,0.339
499653.0,0.333
105889.0,0.327
652281.0,0.322
563119.0,0.312
429820.0,0.307
287529.0,0.299
638266.0,0.294
3939.0,0.287
513694.0,0.28
77139.0,0.272
594179.0,0.258
197632.0,0.255
465747.0,0.248
278625.0,0.24
89261.0,0.231
19807.0,0.218
620524.0,0.21
405919.0,0.201
599765.0,0.194
235688.0,0.186
506482.0,0.178
154535.0,0.171
439622.0,0.163
65024.0,0.149
41999.0,0.14
306896.0,0.132
652157.0,0.123
265742.0,0.108
320449.0,0.0939
326036.0,0.0778
36478.0,0.0623
632535.0,0.0394
