site,value
588158.0,4.568
1041915.0,4.519
1059845.0,4.301
202061.0,4.208
521792.0,3.993
218020.0,3.797
483448.0,3.745
1042308.0,3.7
318483.0,3.653
573334.0,3.594
638193.0,3.575
571133.0,3.545
797788.0,3.493
1051339.0,3.456
574215.0,3.447
883214.0,3.41
217764.0,3.345
1051299.0,3.231
218245.0,3.184
234372.0,3.159
724348.0,3.11
1031889.0,3.07
883198.0,3.057
743965.0,3.036
231597.0,3.02
66937.0,3.008
429164.0,2.991
614427.0,2.943
1073953.0,2.927
937369.0,2.92
126370.0,2.909
316755.0,2.898
1062217.0,2.882
301733.0,2.876
21225.0,2.871
134898.0,2.868
161172.0,2.855
114883.0,2.851
1040529.0,2.846
444904.0,2.833
161546.0,2.825
1049633.0,2.824
813571.0,2.812
730297.0,2.801
934709.0,2.786
14901.0,2.784
450674.0,2.781
217313.0,2.776
39156.0,2.772
762035.0,2.767
37365.0,2.761
37410.0,2.759
287354.0,2.752
84848.0,2.745
161533.0,2.731
58524.0,2.726
930047.0,2.721
866523.0,2.716
308471.0,2.709
442094.0,2.705
1047616.0,2.7
629056.0,2.689
307168.0,2.687
157346.0,2.686
447992.0,2.677
311620.0,2.606
717267.0,2.554
409190.0,2.503
769384.0,2.461
937260.0,2.429
523055.0,2.389
108428.0,2.363
753976.0,2.316
339230.0,2.289
794807.0,2.27
262610.0,2.252
757972.0,2.224
986207.0,2.194
315991.0,2.165
44493.0,2.142
351340.0,2.119
999450.0,2.1
229237.0,2.083
478473.0,2.064
1056759.0,2.046
328771.0,2.026
341536.0,2.01
9604.0,1.988
676930.0,1.973
65848.0,1.96
590981.0,1.941
943996.0,1.922
165250.0,1.907
611401.0,1.891
485491.0,1.877
176227.0,1.865
559355.0,1.847
1059031.0,1.83
579312.0,1.815
382547.0,1.8
377604.0,1.789
640019.0,1.78
57085.0,1.768
910034.0,1.752
584702.0,1.737
682828.0,1.726
324791.0,1.719
507485.0,1.708
511586.0,1.691
217630.0,1.68
915271.0,1.669
448202.0,1.659
776499.0,1.645
593968.0,1.637
500155.0,1.626
881874.0,1.612
736686.0,1.599
143743.0,1.585
74985.0,1.575
421124.0,1.566
1050497.0,1.553
289959.0,1.544
462792.0,1.533
585188.0,1.525
205782.0,1.512
260164.0,1.502
344524.0,1.495
309879.0,1.485
1047285.0,1.476
722450.0,1.467
832152.0,1.455
796088.0,1.449
10089.0,1.442
946877.0,1.435
452581.0,1.426
644724.0,1.417
448249.0,1.409
526109.0,1.4
813018.0,1.394
138921.0,1.385
109615.0,1.377
689917.0,1.368
982751.0,1.362
953362.0,1.355
721284.0,1.347
982745.0,1.339
1014351.0,1.332
511240.0,1.322
169486.0,1.315
5824.0,1.308
956109.0,1.301
