site,value
121935.0,3.554
88227.0,3.537
118787.0,3.432
89450.0,3.31
313061.0,3.282
123337.0,3.259
313079.0,3.235
313046.0,3.181
532550.0,3.166
333566.0,3.13
319967.0,3.107
568349.0,3.071
70458.0,3.042
193336.0,3.023
95892.0,3.007
454610.0,2.974
335592.0,2.963
34882.0,2.937
425263.0,2.911
193316.0,2.892
414751.0,2.839
336097.0,2.816
326724.0,2.776
87344.0,2.752
73886.0,2.726
552910.0,2.72
68504.0,2.69
134667.0,2.665
400663.0,2.526
43221.0,2.43
191733.0,2.355
223605.0,2.286
411073.0,2.206
122244.0,2.162
333254.0,2.122
190050.0,2.072
350193.0,2.026
258738.0,1.99
389642.0,1.964
189165.0,1.936
77591.0,1.914
505476.0,1.895
567829.0,1.867
181965.0,1.845
78167.0,1.817
173128.0,1.787
44659.0,1.766
163509.0,1.741
518301.0,1.718
378040.0,1.693
537982.0,1.663
44287.0,1.647
567870.0,1.612
222798.0,1.595
305264.0,1.584
219193.0,1.564
367305.0,1.542
160568.0,1.514
216556.0,1.497
82305.0,1.487
531857.0,1.468
107625.0,1.455
500928.0,1.434
522004.0,1.412
403767.0,1.399
150820.0,1.378
247316.0,1.368
119263.0,1.352
458050.0,1.338
292761.0,1.323
301265.0,1.31
562448.0,1.293
415278.0,1.277
320263.0,1.264
186500.0,1.248
190350.0,1.235
145113.0,1.221
223463.0,1.208
426260.0,1.196
335910.0,1.181
461345.0,1.17
132100.0,1.158
472213.0,1.147
391473.0,1.134
41765.0,1.125
149135.0,1.115
341973.0,1.101
12716.0,1.09
460295.0,1.081
289577.0,1.071
44196.0,1.058
436594.0,1.05
205134.0,1.037
313483.0,1.027
506130.0,1.014
306353.0,1.004
421286.0,0.993
315288.0,0.983
369291.0,0.975
134903.0,0.966
10111.0,0.955
500670.0,0.949
159950.0,0.942
79475.0,0.93
508885.0,0.921
32915.0,0.913
181298.0,0.902
16599.0,0.891
302701.0,0.882
236746.0,0.874
178396.0,0.864
216345.0,0.85
531122.0,0.841
379495.0,0.832
245076.0,0.825
396250.0,0.814
346734.0,0.803
524625.0,0.792
125500.0,0.784
519888.0,0.774
366991.0,0.763
155774.0,0.752
491682.0,0.745
382737.0,0.738
260827.0,0.725
564120.0,0.717
92849.0,0.709
330913.0,0.7
181605.0,0.689
248630.0,0.682
170605.0,0.672
355247.0,0.661
555045.0,0.655
226430.0,0.647
264239.0,0.639
381648.0,0.631
181862.0,0.623
66873.0,0.612
534162.0,0.601
131358.0,0.591
484948.0,0.582
528329.0,0.569
478227.0,0.562
7687.0,0.556
457082.0,0.548
198008.0,0.536
168518.0,0.527
65828.0,0.52
531502.0,0.512
263483.0,0.503
129192.0,0.495
254623.0,0.486
517529.0,0.481
312586.0,0.473
320146.0,0.461
353204.0,0.456
478619.0,0.449
172140.0,0.441
113226.0,0.429
423741.0,0.422
107936.0,0.413
431132.0,0.403
281693.0,0.395
104927.0,0.387
327552.0,0.377
302010.0,0.366
413802.0,0.357
198482.0,0.345
17809.0,0.337
470814.0,0.331
151269.0,0.325
268401.0,0.317
23336.0,0.311
484394.0,0.303
545503.0,0.295
324288.0,0.288
10897.0,0.28
491347.0,0.271
255654.0,0.263
433018.0,0.25
233179.0,0.24
255049.0,0.232
255667.0,0.217
227708.0,0.21
248874.0,0.197
260719.0,0.187
261441.0,0.172
423557.0,0.162
248724.0,0.154
433939.0,0.141
478484.0,0.131
259789.0,0.116
143984.0,0.101
278217.0,0.0859
148592.0,0.0689
