site,value
49534.0,4.191
211079.0,3.912
105335.0,3.45
211112.0,3.142
56900.0,3.013
96479.0,2.96
77814.0,2.864
82120.0,2.825
48405.0,2.782
55577.0,2.686
77765.0,2.581
101689.0,2.314
41566.0,2.198
35339.0,2.059
212590.0,1.969
243876.0,1.889
73548.0,1.825
67248.0,1.728
85610.0,1.656
115525.0,1.611
164145.0,1.564
155398.0,1.523
56420.0,1.48
222540.0,1.436
240427.0,1.402
96280.0,1.368
24501.0,1.348
147233.0,1.321
52029.0,1.296
231410.0,1.268
146715.0,1.245
182788.0,1.216
214218.0,1.191
246736.0,1.162
22325.0,1.13
175105.0,1.106
66276.0,1.08
163861.0,1.05
237740.0,1.021
246465.0,0.999
26687.0,0.967
36202.0,0.944
186408.0,0.922
78773.0,0.891
217702.0,0.87
17779.0,0.85
250719.0,0.833
250729.0,0.816
225441.0,0.796
108081.0,0.778
230127.0,0.76
101848.0,0.742
265195.0,0.723
193856.0,0.706
161349.0,0.688
245684.0,0.666
58690.0,0.646
134208.0,0.626
27382.0,0.605
94935.0,0.583
123924.0,0.567
60224.0,0.548
136726.0,0.529
156062.0,0.506
269348.0,0.487
255847.0,0.469
134738.0,0.452
90995.0,0.435
130276.0,0.419
107794.0,0.402
19257.0,0.387
163991.0,0.373
159960.0,0.351
167090.0,0.329
150524.0,0.316
33110.0,0.302
268269.0,0.287
116875.0,0.271
150509.0,0.248
219414.0,0.233
137029.0,0.217
51025.0,0.202
266134.0,0.178
16624.0,0.148
169424.0,0.124
148467.0,0.0998
253434.0,0.0768
