site,value
106656.0,3.558
389702.0,3.408
70558.0,3.337
321466.0,3.254
40330.0,3.21
55799.0,3.071
179038.0,3.009
159818.0,2.93
419884.0,2.868
179284.0,2.852
266935.0,2.821
240494.0,2.79
321538.0,2.732
101598.0,2.688
421596.0,2.668
240557.0,2.656
101812.0,2.642
344069.0,2.616
101507.0,2.47
402211.0,2.353
176945.0,2.268
138291.0,2.2
54220.0,2.152
56605.0,2.1
60840.0,2.013
178164.0,1.952
189130.0,1.927
218835.0,1.88
253257.0,1.832
265452.0,1.791
416562.0,1.762
255684.0,1.738
244306.0,1.709
358527.0,1.676
178545.0,1.644
78153.0,1.616
97884.0,1.591
298976.0,1.559
340836.0,1.536
84735.0,1.505
53094.0,1.481
365835.0,1.457
270192.0,1.432
360074.0,1.407
323777.0,1.39
150359.0,1.372
27645.0,1.359
34114.0,1.336
413167.0,1.313
250242.0,1.293
53613.0,1.27
253601.0,1.251
303424.0,1.229
65158.0,1.216
121387.0,1.203
162083.0,1.188
26696.0,1.168
266988.0,1.152
372832.0,1.14
330281.0,1.123
191328.0,1.109
296612.0,1.095
296599.0,1.079
135912.0,1.062
254449.0,1.048
49496.0,1.034
415180.0,1.02
184924.0,1.004
363743.0,0.989
248524.0,0.976
31854.0,0.962
314901.0,0.945
233237.0,0.934
414203.0,0.918
162340.0,0.908
254224.0,0.892
185391.0,0.876
401245.0,0.864
426481.0,0.852
109666.0,0.835
234953.0,0.819
109681.0,0.804
292526.0,0.792
276501.0,0.777
400388.0,0.768
436181.0,0.757
306983.0,0.747
40763.0,0.734
105021.0,0.723
260956.0,0.713
305516.0,0.7
253654.0,0.688
99819.0,0.678
145030.0,0.669
230863.0,0.661
47318.0,0.65
95249.0,0.639
289515.0,0.63
428517.0,0.618
409358.0,0.607
223093.0,0.599
164267.0,0.589
94725.0,0.578
39944.0,0.563
403290.0,0.551
102343.0,0.537
105263.0,0.525
259421.0,0.512
50947.0,0.499
109860.0,0.49
160226.0,0.481
388469.0,0.47
168523.0,0.457
252767.0,0.445
108106.0,0.435
220227.0,0.426
184406.0,0.416
371995.0,0.405
335682.0,0.39
278065.0,0.38
306358.0,0.367
111295.0,0.351
393977.0,0.34
67994.0,0.332
187755.0,0.316
104774.0,0.304
388293.0,0.295
279575.0,0.28
127880.0,0.272
74733.0,0.262
157176.0,0.248
303269.0,0.233
241088.0,0.223
167488.0,0.209
346673.0,0.195
243853.0,0.18
67373.0,0.17
318996.0,0.149
43267.0,0.132
217635.0,0.116
43908.0,0.101
51399.0,0.0843
