site,value
558262.0,5.073
145839.0,4.277
265356.0,3.872
589640.0,3.772
411091.0,3.755
105545.0,3.608
516621.0,3.469
541895.0,3.433
269358.0,3.37
527845.0,3.344
765609.0,3.336
589607.0,3.259
205778.0,3.231
205764.0,3.219
700773.0,3.176
408395.0,3.149
709043.0,3.138
65998.0,3.132
345050.0,3.091
34933.0,3.077
735293.0,3.04
425102.0,3.032
665532.0,2.999
502364.0,2.97
734399.0,2.93
450548.0,2.912
705027.0,2.905
43693.0,2.889
44516.0,2.883
116095.0,2.874
714155.0,2.87
60346.0,2.862
205886.0,2.845
427897.0,2.827
199033.0,2.816
195589.0,2.813
502107.0,2.8
680965.0,2.791
225585.0,2.762
90658.0,2.69
439861.0,2.615
231463.0,2.535
484722.0,2.472
418735.0,2.434
501954.0,2.375
127285.0,2.335
514902.0,2.294
733656.0,2.263
530860.0,2.238
767454.0,2.208
336757.0,2.174
46528.0,2.149
663964.0,2.106
492541.0,2.073
198089.0,2.049
377257.0,2.017
210285.0,1.992
419608.0,1.975
492700.0,1.949
593757.0,1.926
491456.0,1.905
309775.0,1.88
86603.0,1.859
355860.0,1.837
456540.0,1.815
196769.0,1.794
646155.0,1.764
195882.0,1.748
108575.0,1.733
518381.0,1.708
540452.0,1.695
528746.0,1.681
303012.0,1.665
296964.0,1.652
750525.0,1.637
329678.0,1.624
36818.0,1.61
548113.0,1.596
113490.0,1.586
596687.0,1.571
306102.0,1.56
646049.0,1.544
492866.0,1.528
32520.0,1.513
332527.0,1.499
605428.0,1.489
310618.0,1.479
749397.0,1.469
129787.0,1.458
372861.0,1.448
675265.0,1.436
651140.0,1.428
142284.0,1.421
317112.0,1.41
715358.0,1.4
505224.0,1.39
591789.0,1.377
92438.0,1.366
457681.0,1.354
339433.0,1.345
590883.0,1.336
41498.0,1.324
32124.0,1.314
611506.0,1.303
530414.0,1.297
764175.0,1.287
622376.0,1.279
228733.0,1.27
779121.0,1.262
529208.0,1.253
504355.0,1.24
204408.0,1.232
57982.0,1.223
198329.0,1.211
767522.0,1.202
153101.0,1.195
648396.0,1.184
35487.0,1.171
309298.0,1.164
38921.0,1.155
642859.0,1.147
695142.0,1.14
544947.0,1.133
435265.0,1.123
182375.0,1.113
526465.0,1.104
778060.0,1.097
28283.0,1.088
350047.0,1.079
763351.0,1.071
263233.0,1.063
589785.0,1.053
587890.0,1.044
764550.0,1.04
137918.0,1.031
709499.0,1.024
313952.0,1.017
212473.0,1.009
778549.0,1.0
264036.0,0.994
376661.0,0.988
40584.0,0.979
227078.0,0.973
543105.0,0.964
40581.0,0.955
597511.0,0.948
428919.0,0.938
231537.0,0.931
307669.0,0.924
386492.0,0.914
187294.0,0.908
276420.0,0.897
594556.0,0.892
763253.0,0.886
314583.0,0.879
697152.0,0.872
170587.0,0.865
70837.0,0.858
442440.0,0.851
95133.0,0.846
673544.0,0.838
376339.0,0.831
647121.0,0.823
725514.0,0.817
615018.0,0.811
128432.0,0.803
622621.0,0.796
495599.0,0.789
704818.0,0.781
113225.0,0.776
357655.0,0.77
236406.0,0.763
85471.0,0.756
419187.0,0.749
305207.0,0.742
178589.0,0.737
356133.0,0.731
279734.0,0.723
119218.0,0.716
158230.0,0.71
273288.0,0.706
132908.0,0.7
258494.0,0.694
584774.0,0.689
339614.0,0.682
743503.0,0.675
31215.0,0.667
175995.0,0.661
580406.0,0.654
110566.0,0.648
645963.0,0.644
67598.0,0.638
341739.0,0.631
761710.0,0.624
340860.0,0.619
301288.0,0.612
478139.0,0.605
149766.0,0.599
251635.0,0.592
218741.0,0.585
130358.0,0.579
536300.0,0.575
511496.0,0.569
762338.0,0.563
32827.0,0.558
466735.0,0.55
73952.0,0.543
586785.0,0.535
50111.0,0.528
275817.0,0.522
64760.0,0.514
310179.0,0.508
180076.0,0.499
680324.0,0.494
230925.0,0.489
611998.0,0.481
453242.0,0.474
231904.0,0.466
292246.0,0.46
180083.0,0.452
171538.0,0.447
93768.0,0.438
132473.0,0.433
225976.0,0.428
224563.0,0.421
771508.0,0.414
631352.0,0.409
452429.0,0.404
385077.0,0.396
718807.0,0.39
51164.0,0.383
635500.0,0.378
560968.0,0.371
310072.0,0.364
63415.0,0.357
502853.0,0.349
126390.0,0.341
386009.0,0.334
281784.0,0.327
330716.0,0.32
484353.0,0.313
625848.0,0.309
709401.0,0.297
278857.0,0.289
150431.0,0.286
575603.0,0.278
140953.0,0.272
510772.0,0.264
301209.0,0.256
703472.0,0.248
185220.0,0.239
661602.0,0.233
538889.0,0.225
498883.0,0.218
475457.0,0.21
280228.0,0.202
473175.0,0.194
438512.0,0.186
177978.0,0.172
263313.0,0.164
82675.0,0.149
64907.0,0.14
103114.0,0.131
535157.0,0.117
529764.0,0.108
595411.0,0.1
716625.0,0.0854
347651.0,0.0699
628857.0,0.055
